,Lat,Lng,Price,Tempature (F),ZipCode
42,34.31,-118.43,488600.0,22.12,91342
43,40.6,-73.97,856500.0,-2.01,11223
44,34.11,-84.51,195500.0,2.82,30188
45,35.85,-86.39,177500.0,-0.57,37130
46,26.0,-80.32,332300.0,14.29,33027
47,34.03,-84.24,269800.0,2.7,30022
48,34.1,-118.29,1590100.0,22.45,90027
49,40.03,-83.14,193700.0,-3.83,43026
50,36.83,-76.1,216000.0,1.0,23452
51,40.95,-73.87,449000.0,-2.07,10701
52,40.41,-104.75,282300.0,14.44,80634
53,44.06,-123.16,230300.0,6.59,97402
54,34.41,-118.09,246800.0,22.33,93550
55,39.34,-76.68,83000.0,3.42,21215
56,35.83,-90.7,130200.0,-0.34,72401
57,38.23,-84.87,125600.0,-2.27,40601
58,27.26,-80.38,201900.0,10.42,34953
59,33.38,-86.7,282200.0,3.36,35242
60,38.35,-121.95,381800.0,13.56,95687
61,41.71,-87.75,201100.0,-1.0,60453
62,34.71,-117.88,230300.0,22.15,93535
63,34.75,-118.37,299200.0,21.6,93536
64,36.86,-76.0,417800.0,1.0,23451
65,35.39,-118.94,178300.0,15.78,93306
66,28.55,-81.18,236500.0,7.79,32828
67,33.91,-84.69,154900.0,2.84,30127
68,42.06,-87.94,297800.0,-0.92,60056
69,39.27,-76.49,139500.0,3.17,21222
70,34.09,-80.92,107700.0,3.89,29223
71,29.56,-98.61,182900.0,6.9,78249
72,32.85,-79.82,406800.0,2.19,29464
73,38.86,-76.97,318900.0,3.26,20020
74,36.2,-119.34,186400.0,15.23,93274
75,32.59,-83.64,108800.0,5.59,31088
76,37.35,-121.98,1313300.0,14.29,95051
77,33.47,-112.0,222100.0,22.55,85008
78,37.67,-120.95,291600.0,14.61,95355
79,26.93,-80.12,341300.0,11.25,33458
80,32.98,-80.18,185800.0,1.8,29485
81,36.02,-78.95,230600.0,-2.42,27705
82,33.58,-112.23,188500.0,22.55,85345
83,38.61,-121.28,293200.0,13.4,95670
84,32.74,-117.09,426600.0,18.86,92105
85,39.6,-86.13,140500.0,-1.79,46143
86,39.44,-84.62,145400.0,-1.86,45013
87,33.49,-111.92,351300.0,22.63,85251
88,41.78,-87.61,158100.0,-1.0,60637
89,33.14,-96.75,290200.0,5.86,75035
90,29.86,-90.11,144400.0,5.51,70072
91,34.01,-118.11,529600.0,22.5,90640
92,43.16,-78.69,131700.0,-5.0,14094
93,25.94,-80.32,296700.0,14.29,33015
94,33.68,-118.01,893500.0,21.94,92648
95,35.68,-88.83,114600.0,0.0,38305
96,39.52,-84.4,121100.0,-2.23,45044
97,37.93,-121.69,477200.0,14.51,94513
98,37.72,-122.44,1014000.0,13.64,94112
99,43.12,-89.35,206300.0,-1.63,53704
100,38.99,-84.64,149800.0,-1.74,41042
101,39.92,-75.16,194300.0,-2.38,19148
102,26.54,-80.11,265700.0,13.75,33436
103,36.0,-80.0,142200.0,-0.24,27265
104,43.8,-91.22,140000.0,1.0,54601
105,33.01,-117.07,662400.0,18.08,92128
106,37.97,-122.34,436200.0,13.42,94806
107,33.56,-117.27,376800.0,21.35,92562
108,42.11,-87.98,312600.0,-0.9,60004
109,26.1,-80.18,676700.0,14.0,33308
110,28.55,-81.26,207400.0,7.76,32825
111,28.3,-82.69,125900.0,7.13,34668
112,38.1,-122.21,394000.0,13.25,94591
113,29.48,-98.46,363800.0,7.38,78209
114,34.26,-118.42,456800.0,22.06,91331
115,33.43,-111.85,195900.0,22.63,85201
116,39.0,-77.03,565500.0,3.19,20910
117,42.5,-82.94,96000.0,-3.0,48066
118,40.03,-75.17,103300.0,-2.27,19144
119,38.68,-77.32,300300.0,3.23,22192
120,36.38,-86.45,222500.0,-0.67,37066
121,34.04,-84.39,334700.0,2.7,30075
122,30.03,-90.25,190900.0,5.43,70065
123,32.79,-116.97,497000.0,19.07,92020
124,38.31,-85.74,124300.0,-2.28,47130
125,33.7,-117.76,805100.0,21.65,92620
126,35.87,-86.42,201200.0,-0.57,37129
127,39.63,-75.7,208000.0,-1.57,19702
128,28.49,-81.41,151200.0,8.36,32839
129,33.84,-117.6,432600.0,22.55,92882
130,37.68,-122.48,921400.0,13.64,94015
131,36.11,-115.28,243200.0,17.66,89147
132,48.75,-122.49,391700.0,9.0,98225
133,38.58,-90.26,139200.0,5.82,63116
134,39.98,-75.6,323300.0,-2.18,19380
135,28.81,-81.89,188100.0,7.99,34748
136,41.78,-87.77,217000.0,-0.9,60638
137,33.72,-117.91,533600.0,22.11,92704
138,45.48,-122.6,364100.0,7.43,97206
139,39.34,-76.54,148400.0,3.37,21206
140,41.49,-90.5,110500.0,0.15,61265
141,33.2,-117.28,490400.0,18.52,92056
142,46.21,-119.17,182800.0,6.7,99336
143,35.16,-89.78,155900.0,-0.17,38016
144,36.24,-115.27,242500.0,17.66,89129
145,26.2,-97.69,109300.0,4.48,78550
146,30.17,-97.82,257500.0,6.43,78748
147,33.57,-117.18,390100.0,21.55,92563
148,34.28,-119.22,564700.0,20.99,93003
149,34.77,-77.38,123500.0,0.84,28546
150,34.94,-89.85,149100.0,-0.16,38654
151,33.62,-111.96,402300.0,22.63,85254
152,38.82,-90.74,195900.0,6.2,63366
153,34.0,-117.44,354100.0,23.06,92509
154,43.65,-116.43,217500.0,6.75,83646
155,39.98,-75.83,196900.0,-2.42,19320
156,40.04,-75.07,129000.0,-2.23,19149
157,34.11,-117.66,442600.0,22.49,91786
158,29.51,-98.67,155000.0,6.9,78250
159,40.68,-73.78,442500.0,-1.73,11434
160,37.79,-122.44,2054500.0,13.64,94115
161,40.26,-75.62,149500.0,-2.33,19464
162,37.27,-76.73,267600.0,1.38,23185
163,33.44,-111.71,224100.0,22.63,85205
164,35.15,-106.57,218800.0,11.59,87109
165,41.45,-74.47,169800.0,-5.13,10940
166,45.44,-122.78,391900.0,7.37,97223
167,38.91,-104.77,256400.0,12.45,80918
168,33.0,-96.88,247800.0,5.86,75007
169,40.32,-79.72,146900.0,-4.5,15642
170,33.24,-117.3,471900.0,19.12,92057
171,42.56,-89.09,86900.0,-2.33,53511
172,36.31,-119.31,209100.0,15.16,93277
173,36.55,-82.56,119000.0,-3.39,37660
174,42.85,-73.79,249000.0,-6.17,12065
175,25.78,-80.23,279400.0,14.28,33125
176,37.7,-97.44,149400.0,8.66,67212
177,36.22,-115.07,159900.0,17.66,89115
178,26.56,-82.02,273700.0,11.19,33914
179,34.3,-118.68,534100.0,21.93,93063
180,47.72,-122.3,640500.0,7.45,98125
181,30.51,-97.71,239300.0,6.23,78681
182,34.25,-84.49,193800.0,2.67,30114
183,32.75,-117.16,902900.0,18.86,92103
184,41.51,-87.59,94200.0,-1.0,60411
185,36.05,-83.92,151200.0,-1.33,37918
186,37.32,-76.76,275200.0,1.72,23188
187,28.05,-82.45,160500.0,7.92,33612
188,34.18,-118.62,727300.0,21.78,91367
189,38.5,-121.53,407000.0,13.45,95831
190,28.21,-82.68,241600.0,7.15,34655
191,39.97,-86.12,261000.0,-2.32,46032
192,33.51,-83.86,125300.0,3.75,30016
193,45.28,-93.42,228400.0,1.67,55303
194,29.7,-95.59,133300.0,3.44,77072
195,40.59,-75.46,148900.0,-2.5,18103
196,27.54,-82.56,205600.0,7.9,34221
197,28.04,-82.39,164000.0,7.92,33617
198,40.55,-105.11,346200.0,13.34,80526
199,38.0,-121.32,257000.0,14.0,95207
200,36.05,-94.15,173500.0,4.0,72701
201,43.74,-87.72,107000.0,-1.75,53081
202,33.83,-118.38,1223100.0,21.6,90277
203,33.91,-84.18,150800.0,2.7,30093
204,40.81,-81.95,148700.0,-3.57,44691
205,42.14,-83.22,147000.0,-3.25,48183
206,41.55,-88.13,153600.0,-0.91,60435
207,44.44,-88.08,211000.0,-1.18,54115
208,39.21,-94.57,139000.0,2.57,64118
209,44.95,-93.16,215600.0,1.87,55104
210,42.73,-78.84,168700.0,-5.79,14075
211,28.39,-81.42,225300.0,8.99,32837
212,40.71,-73.24,310800.0,-1.78,11706
213,42.52,-90.68,123400.0,-0.83,52001
214,34.13,-117.21,312000.0,23.76,92346
215,37.38,-79.22,169500.0,2.0,24502
216,35.07,-106.57,176400.0,11.75,87108
217,32.81,-96.81,552400.0,5.86,75219
218,37.03,-122.12,971300.0,15.6,95060
219,34.2,-118.49,571600.0,21.94,91406
220,38.46,-77.43,271400.0,3.34,22554
221,45.08,-93.19,250600.0,1.87,55112
222,42.19,-83.49,202100.0,-3.39,48111
223,38.79,-90.28,111600.0,5.14,63033
224,44.67,-93.26,281600.0,2.32,55044
225,33.76,-118.13,1034200.0,22.11,90803
226,39.96,-75.23,61300.0,-2.38,19139
227,38.69,-121.27,330700.0,13.45,95610
228,33.84,-118.35,837300.0,21.89,90503
229,36.29,-95.82,151000.0,7.55,74055
230,29.93,-90.1,565900.0,5.51,70115
231,38.73,-90.11,82200.0,5.14,62040
232,42.02,-91.66,137600.0,0.41,52402
233,41.9,-88.75,134900.0,-1.22,60115
234,42.84,-78.75,153700.0,-5.25,14224
235,47.7,-117.44,161400.0,3.61,99205
236,47.31,-122.36,351000.0,7.27,98023
237,35.32,-80.75,168200.0,0.64,28262
238,42.81,-86.14,183400.0,-0.51,49424
239,35.16,-85.22,155200.0,1.44,37343
240,48.8,-122.44,366700.0,9.15,98226
241,31.31,-89.38,140200.0,4.7,39402
242,28.53,-81.48,192300.0,8.99,32835
243,35.06,-89.86,93200.0,-0.5,38115
244,41.77,-88.34,166600.0,-0.89,60506
245,41.5,-81.55,131100.0,-2.64,44118
246,43.09,-77.44,192900.0,-8.1,14450
247,32.97,-117.12,701000.0,18.08,92129
248,26.22,-80.22,216800.0,14.0,33068
249,42.62,-83.92,234800.0,-2.55,48843
250,36.71,-121.64,399600.0,16.83,93906
251,28.76,-81.35,240900.0,7.54,32746
252,37.98,-84.48,136200.0,-3.0,40517
253,32.82,-96.75,497700.0,5.87,75214
254,41.89,-87.94,355200.0,-0.92,60126
255,39.25,-76.8,364100.0,3.54,21043
256,28.68,-81.28,219500.0,7.66,32708
257,47.9,-122.25,341400.0,7.77,98204
258,34.03,-118.35,707400.0,22.0,90016
259,36.18,-86.6,211900.0,-0.68,37076
260,34.02,-84.31,287900.0,2.7,30076
261,30.36,-91.09,207100.0,5.0,70810
262,33.18,-96.96,237800.0,5.93,75068
263,39.86,-86.12,187600.0,-2.0,46220
264,33.89,-118.3,510100.0,22.01,90247
265,40.38,-104.68,210600.0,14.44,80631
266,32.19,-110.97,138300.0,22.98,85713
267,34.22,-117.39,298600.0,23.63,92407
268,43.97,-75.91,123600.0,-4.33,13601
269,38.51,-121.49,263400.0,13.4,95822
270,26.53,-80.06,244600.0,13.75,33435
271,37.26,-121.92,1206800.0,14.63,95124
272,25.96,-80.18,265500.0,14.29,33179
273,47.66,-122.3,909300.0,7.91,98105
274,45.52,-122.86,378000.0,7.44,97006
275,40.04,-75.22,233100.0,-2.27,19128
276,38.58,-92.24,121300.0,5.39,65109
277,41.54,-83.59,176400.0,-3.67,43551
278,33.39,-112.1,181700.0,22.55,85041
279,42.16,-87.96,289400.0,-1.0,60089
280,41.63,-81.41,159000.0,-2.44,44094
281,34.03,-117.62,420100.0,22.49,91761
282,45.5,-122.96,330400.0,7.5,97123
283,32.8,-117.17,584000.0,18.86,92111
284,40.76,-72.99,301900.0,-2.0,11772
285,42.52,-83.16,221600.0,-2.92,48073
